alpha,error
58.98748436,613.2293971
59.11138924,613.54131
59.23529412,613.8537184
59.359199,614.1666215
59.48310388,614.4800186
59.60700876,614.793909
59.73091364,615.1082919
59.85481852,615.4231665
59.9787234,615.738532
60.10262829,616.0543878
60.22653317,616.370733
60.35043805,616.687567
60.47434293,617.0048889
60.59824781,617.3226981
60.72215269,617.6409936
60.84605757,617.9597749
60.96996245,618.2790412
61.09386733,618.5987916
61.21777222,618.9190255
61.3416771,619.2397421
61.46558198,619.5609407
61.58948686,619.8826204
61.71339174,620.2047806
61.83729662,620.5274206
61.9612015,620.8505394
62.08510638,621.1741365
62.20901126,621.4982111
62.33291615,621.8227623
62.45682103,622.1477896
62.58072591,622.473292
62.70463079,622.799269
62.82853567,623.1257196
62.95244055,623.4526433
63.07634543,623.7800392
63.20025031,624.1079066
63.32415519,624.4362448
63.44806008,624.765053
63.57196496,625.0943305
63.69586984,625.4240765
63.81977472,625.7542903
63.9436796,626.0849712
64.06758448,626.4161184
64.19148936,626.7477312
64.31539424,627.0798088
64.43929912,627.4123505
64.56320401,627.7453555
64.68710889,628.0788232
64.81101377,628.4127528
64.93491865,628.7471435
65.05882353,629.0819947
65.18272841,629.4173055
65.30663329,629.7530753
65.43053817,630.0893033
65.55444305,630.4259888
65.67834793,630.763131
65.80225282,631.1007292
65.9261577,631.4387828
66.05006258,631.7772909
66.17396746,632.1162528
66.29787234,632.4556678
66.42177722,632.7955352
66.5456821,633.1358542
66.66958698,633.4766241
66.79349186,633.8178442
66.91739675,634.1595138
67.04130163,634.5016321
67.16520651,634.8441984
67.28911139,635.1872119
67.41301627,635.5306721
67.53692115,635.874578
67.66082603,636.2189291
67.78473091,636.5637245
67.90863579,636.9089637
68.03254068,637.2546457
68.15644556,637.60077
68.28035044,637.9473358
68.40425532,638.2943424
68.5281602,638.641789
68.65206508,638.989675
68.77596996,639.3379996
68.89987484,639.6867622
69.02377972,640.0359619
69.14768461,640.3855981
69.27158949,640.7356701
69.39549437,641.0861771
69.51939925,641.4371185
69.64330413,641.7884935
69.76720901,642.1403014
69.89111389,642.4925416
70.01501877,642.8452132
70.13892365,643.1983156
70.26282854,643.5518481
70.38673342,643.9058099
70.5106383,644.2602005
70.63454318,644.6150189
70.75844806,644.9702646
70.88235294,645.3259369
71.00625782,645.682035
71.1301627,646.0385582
71.25406758,646.3955059
71.37797247,646.7528773
71.50187735,647.1106717
71.62578223,647.4688884
71.74968711,647.8275267
71.87359199,648.186586
71.99749687,648.5460655
72.12140175,648.9059645
72.24530663,649.2662824
72.36921151,649.6270184
72.4931164,649.9881718
72.61702128,650.3497419
72.74092616,650.7117281
72.86483104,651.0741297
72.98873592,651.4369459
73.1126408,651.8001761
73.23654568,652.1638195
73.36045056,652.5278755
73.48435544,652.8923434
73.60826033,653.2572226
73.73216521,653.6225122
73.85607009,653.9882117
73.97997497,654.3543202
74.10387985,654.7208373
74.22778473,655.0877621
74.35168961,655.455094
74.47559449,655.8228323
74.59949937,656.1909763
74.72340426,656.5595254
74.84730914,656.9284788
74.97121402,657.2978358
75.0951189,657.6675959
75.21902378,658.0377582
75.34292866,658.4083222
75.46683354,658.7792872
75.59073842,659.1506524
75.7146433,659.5224172
75.83854819,659.894581
75.96245307,660.267143
76.08635795,660.6401026
76.21026283,661.0134591
76.33416771,661.3872118
76.45807259,661.7613601
76.58197747,662.1359032
76.70588235,662.5108406
76.82978723,662.8861716
76.95369212,663.2618954
77.077597,663.6380114
77.20150188,664.014519
77.32540676,664.3914175
77.44931164,664.7687062
77.57321652,665.1463844
77.6971214,665.5244516
77.82102628,665.9029069
77.94493116,666.2817499
78.06883605,666.6609797
78.19274093,667.0405958
78.31664581,667.4205975
78.44055069,667.8009841
78.56445557,668.181755
78.68836045,668.5629095
78.81226533,668.9444469
78.93617021,669.3263667
79.06007509,669.7086681
79.18397997,670.0913505
79.30788486,670.4744133
79.43178974,670.8578557
79.55569462,671.2416772
79.6795995,671.6258771
79.80350438,672.0104547
79.92740926,672.3954094
80.05131414,672.7807406
80.17521902,673.1664476
80.2991239,673.5525297
80.42302879,673.9389864
80.54693367,674.3258169
80.67083855,674.7130206
80.79474343,675.100597
80.91864831,675.4885452
81.04255319,675.8768648
81.16645807,676.265555
81.29036295,676.6546153
81.41426783,677.0440449
81.53817272,677.4338433
81.6620776,677.8240098
81.78598248,678.2145438
81.90988736,678.6054446
82.03379224,678.9967116
82.15769712,679.3883442
82.281602,679.7803418
82.40550688,680.1727036
82.52941176,680.5654292
82.65331665,680.9585178
82.77722153,681.3519688
82.90112641,681.7457816
83.02503129,682.1399556
83.14893617,682.5344901
83.27284105,682.9293846
83.39674593,683.3246383
83.52065081,683.7202508
83.64455569,684.1162212
83.76846058,684.5125491
83.89236546,684.9092338
84.01627034,685.3062748
84.14017522,685.7036712
84.2640801,686.1014227
84.38798498,686.4995284
84.51188986,686.8979879
84.63579474,687.2968005
84.75969962,687.6959656
84.88360451,688.0954825
85.00750939,688.4953508
85.13141427,688.8955696
85.25531915,689.2961385
85.37922403,689.6970569
85.50312891,690.0983241
85.62703379,690.4999395
85.75093867,690.9019024
85.87484355,691.3042124
85.99874844,691.7068688
86.12265332,692.109871
86.2465582,692.5132184
86.37046308,692.9169103
86.49436796,693.3209463
86.61827284,693.7253256
86.74217772,694.1300477
86.8660826,694.535112
86.98998748,694.9405179
87.11389237,695.3462647
87.23779725,695.752352
87.36170213,696.158779
87.48560701,696.5655453
87.60951189,696.9726501
87.73341677,697.380093
87.85732165,697.7878732
87.98122653,698.1959904
88.10513141,698.6044437
88.2290363,699.0132327
88.35294118,699.4223568
88.47684606,699.8318153
88.60075094,700.2416077
88.72465582,700.6517334
88.8485607,701.0621919
88.97246558,701.4729824
89.09637046,701.8841046
89.22027534,702.2955577
89.34418023,702.7073411
89.46808511,703.1194544
89.59198999,703.5318969
89.71589487,703.944668
89.83979975,704.3577673
89.96370463,704.771194
90.08760951,705.1849476
90.21151439,705.5990276
90.33541927,706.0134333
90.45932416,706.4281642
90.58322904,706.8432198
90.70713392,707.2585994
90.8310388,707.6743024
90.95494368,708.0903284
91.07884856,708.5066767
91.20275344,708.9233468
91.32665832,709.3403381
91.4505632,709.7576501
91.57446809,710.1752821
91.69837297,710.5932336
91.82227785,711.0115041
91.94618273,711.4300929
92.07008761,711.8489996
92.19399249,712.2682235
92.31789737,712.6877643
92.44180225,713.1076222
92.56570713,713.5277957
92.68961202,713.9482842
92.8135169,714.3690872
92.93742178,714.7902041
93.06132666,715.2116344
93.18523154,715.6333774
93.30913642,716.0554328
93.4330413,716.4777998
93.55694618,716.900478
93.68085106,717.3234668
93.80475594,717.7467656
93.92866083,718.170374
94.05256571,718.5942913
94.17647059,719.018517
94.30037547,719.4430506
94.42428035,719.8678915
94.54818523,720.2930392
94.67209011,720.7184932
94.79599499,721.1442528
94.91989987,721.5703176
95.04380476,721.9966869
95.16770964,722.4233604
95.29161452,722.8504552
95.4155194,723.2777341
95.53942428,723.7053155
95.66332916,724.1286717
95.78723404,724.556903
95.91113892,724.989869
96.0350438,725.4186549
96.15894869,725.8477406
96.28285357,726.2771255
96.40675845,726.7068091
96.53066333,727.1367909
96.65456821,727.5670704
96.77847309,727.9976471
96.90237797,728.4285203
97.02628285,728.8596897
97.15018773,729.2911546
97.27409262,729.7190057
97.3979975,730.1549705
97.52190238,730.5873201
97.64580726,731.0199632
97.76971214,731.2560482
97.89361702,731.2563171
98.0175219,731.2565862
98.14142678,731.2568557
98.26533166,731.2571256
98.38923655,731.2573958
98.51314143,731.2576663
98.63704631,731.2579372
98.76095119,731.2582084
98.88485607,731.25848
99.00876095,731.2587519
99.13266583,731.2590241
99.25657071,731.2592967
99.38047559,731.2595696
99.50438048,731.2598429
99.62828536,731.2601164
99.75219024,731.2603904
99.87609512,731.2606647
100,731.2609393
